Title,Note,URL,Tags,Comment
BrewDog Edinburgh Lothian Road,,https://www.google.com/maps/place/BrewDog+Edinburgh+Lothian+Road/data=!4m2!3m1!1s0x4887c7a28f1c4d61:0x8cea87d80d07a49e,,
The Caley Picture House - JD Wetherspoon,,https://www.google.com/maps/place/The+Caley+Picture+House+-+JD+Wetherspoon/data=!4m2!3m1!1s0x4887c79875ff5fdd:0x626a4692467f26a1,,
Shakespeare,,https://www.google.com/maps/place/Shakespeare/data=!4m2!3m1!1s0x4887c798791bcf33:0xc538b9ba689558cd,,
Nightcap,,https://www.google.com/maps/place/Nightcap/data=!4m2!3m1!1s0x4887c79200198cf5:0x5e431d6beba5dd0f,,
The Cumberland Bar,,https://www.google.com/maps/place/The+Cumberland+Bar/data=!4m2!3m1!1s0x4887c7930b365299:0x54959f1f2d880277,,
Boston Bar,,https://www.google.com/maps/place/Boston+Bar/data=!4m2!3m1!1s0x4887c71d0b25f9ef:0xd311c49f756af386,,
The Hanover Tap,,https://www.google.com/maps/place/The+Hanover+Tap/data=!4m2!3m1!1s0x4887c791411ef0e9:0x7c1ec9d336366ea1,,
The Dome,,https://www.google.com/maps/place/The+Dome/data=!4m2!3m1!1s0x4887c79107371c41:0x96d88c71cb27891a,,
Milnes Bar,,https://www.google.com/maps/place/Milnes+Bar/data=!4m2!3m1!1s0x4887c79102dcff05:0xee5bee66c89c5e5e,,
The Black Rose Tavern,,https://www.google.com/maps/place/The+Black+Rose+Tavern/data=!4m2!3m1!1s0x4887c790d94ff749:0x9fe103a3cffd4650,,
Manahatta Edinburgh,,https://www.google.com/maps/place/Manahatta+Edinburgh/data=!4m2!3m1!1s0x4887c783d69592f9:0xdcedd11e86530690,,
Element,,https://www.google.com/maps/place/Element/data=!4m2!3m1!1s0x4887c7973b3be291:0x2b2c0659482134bf,,
Rose & Crown,,https://www.google.com/maps/place/Rose+%26+Crown/data=!4m2!3m1!1s0x4887c797be093f4f:0xe6885d3c6558c44e,,
Jolly Judge,,https://www.google.com/maps/place/Jolly+Judge/data=!4m2!3m1!1s0x4887c78e6bd64f4d:0xa5347cc4cc53eb17,,
